[1,i]	om namaḥ vīttarāgāya 
[141,i_142,i]	te svabhāva anupalabdhau saṅgraham tādātmyena gacchanti svabhāva anupalabdhi svabhāvāḥ iti arthaḥ nanu ca svabhāva anupalabdhi prayogāt bhidyante kārya anupalabdhi ādayaḥ tat katham antarbhavanti iti āha prayoga bhede api prayogasya śabda vyāpārasya bhede api antarbhavanti katham prayoga bhedaḥ iti āha arthāntaravidhi iti pratiṣedhyāt arthāt artha antarasya vidhiḥ upalabdhiḥ svabhāva viruddha ādi upalabdhi prayogeṣu pratiṣedhaḥ kārya anupalabdhi ādiṣu prayogeṣu artha antara vidhinā artha antara pratiṣedhena ca prayogāḥ bhidyante yadi prayoga antareṣu artha antara vidhi pratiṣedhau katham tarhi antarbhavanti iti āha pāramparyeṇa iti praṇālikayā iti arthaḥ etat uktam bhavati na sākṣāt ete prayogāḥ dṛśya anupalabdhim abhidadhati dṛśya anupalabdhi avyabhicāriṇam tu artha antarasya vidhim niṣedham vā abhidadhati tatas praṇālikayā amīṣām svabhāva anupalabdhau saṅgrahaḥ na sākṣāt iti 
[142,ii_143,i]	yadi prayoga bhedāt eṣa bhedaḥ para artha anumāne vaktavyaḥ eṣaḥ śabda bhedaḥ hi prayoga bhedaḥ śabdaḥ ca para artha anumānam iti āśaṅkya āha prayoga darśana ityādi prayogāṇām śāstra paripaṭhitānām darśanam upalambhaḥ tasya abhyāsaḥ punar punar āvarttanam tasmāt nimittāt svayam api iti pratipattuḥ ātmanaḥ api evam iti anantara uktena krameṇa vyavacchedasya pratiṣedhasya pratītiḥ bhavati iti iti śabdaḥ tasmāt arthe tat ayam arthaḥ yasmāt svayam api evam anena upāyena pratipadyate prayoga abhyāsāt tasmāt sva pratipattau api upayujyamānasya asya prayoga bhedasya sva artha anumāne nirdeśaḥ yat punar para pratipattau eva upayujyate tat para artha anumānaḥ eva vaktavyam iti 
[144,i_144,ii]	nanu ca kārya anupalabdhi ādiṣu kāraṇa ādīnām adṛśyānām eva niṣedhaḥ dṛśya niṣedhe svabhāva anupalabdhi prayoga prasaṅgāt tathā ca sati na teṣām dṛśya anupalabdheḥ niṣedhaḥ tat katham eṣām prayogāṇām dṛśya anupalabdhau antarbhāvaḥ iti āha sarvatra ca ityādi abhāvaḥ ca tad vyavahāraḥ ca abhāva vyavahārau rava bhāva anupalabdha avabhāva vyavahāraḥ sādhya śiṣṭeṣu abhāvaḥ tayoḥ sādhanyām anupalabdhau sarvatra ca iti caśabdaḥ hi śabdasya arthe yasmāt sarvatra anupalabdhau yeṣām pratiṣedhaḥ uktaḥ teṣām upalabdhi lakṣaṇa prāptānām dṛśyānām evam pratiṣedhaḥ tasmāt dṛśya anupalabdhau antarbhāvaḥ 
[144,iii_144,iv]	kutas etat dṛśyānām eva iti āha svabhāva ityādi atra api cakāraḥ hetu arthaḥ yasmāt svabhāva viruddhaḥ ādiḥ yeṣām teṣām upalabdhyā kāraṇam ādiḥ yeṣām teṣām anupalabdhyā pratiṣedhaḥ uktaḥ tasmāt dṛśyānām eva pratiṣedhaḥ iti arthaḥ yadi nāma svabhāva viruddha ādi upalabdhyā kāraṇa ādi anupalabdhyā ca pratiṣedhaḥ uktaḥ tathā api katham dṛśyānām eva pratiṣedhaḥ iti āha upalabdhiḥ ityādi atra api cakāraḥ hetu arthaḥ yasmāt ye virodhinaḥ vyāpya vyāpaka bhūtāḥ kārya kāraṇa bhūtāḥ ca jñātāḥ teṣām avaśyam eva upalabdhiḥ upalabdhi pūrvā ca anupalabdhiḥ veditavyā jñātavyā upalabdhi anupalabdhī ca dve yeṣām staḥ te dṛśyāḥ eva tasmāt svabhāva viruddha ādi upalabdhyā kāraṇa ādi anupalabdhyā ca upalabdhi anupalabdhimatām viruddha ādīnām pratiṣedhaḥ kriyamāṇaḥ dṛśyānām eva kṛtaḥ draṣṭavyaḥ 
[145,i_145,iii]	bahuṣu codyeṣu prakrānteṣu parihāra samuccaya arthaḥ cakāraḥ hetu arthaḥ bhavati yasmāt idam ca idam ca samādhānam asti tasmāt tat tat ca udyama yuktam iti cakāra arthaḥ kasmāt punar pratiṣedhyānām viruddha ādīnām upalabdhi anupalabdhī veditavye iti āha anyeṣām iti upalabdhi anupalabdhi madbhyaḥ anye anupalabdhāḥ eva ye teṣām virodhaḥ ca kārya kāraṇa bhāvaḥ ca kenacid sahābhāvaḥ ca vyāpyasya vyāpakasya abhāve na sidhyati yasmāt tatas virodha kārya kāraṇa bhāva abhāva asiddheḥ kāraṇāt upalabdhi anupalabdhimantaḥ evam viruddha ādayaḥ niṣedhyāḥ ubhayavantaḥ ca dṛśyāḥ eva tasmāt dṛśyānām eva pratiṣedhaḥ 
[145,iv]	tat ayam arthaḥ virodhaḥ ca kārya kāraṇa bhāvaḥ ca vyāpaka abhāve vyāpya abhāvaḥ ca dṛśya anupalabdheḥ eva iti eka saṃnidhau apara abhāva pratītau jñātaḥ virodhaḥ kāraṇa abhimata abhāve ca kārya abhimata abhāva pratyaye avasitaḥ kārya kāraṇa bhāvaḥ vyāpaka abhimata abhāve ca vyāpya abhimata abhāve niścite niścitaḥ vyāpya vyāpaka bhāvaḥ tatra vyāpya vyāpaka bhāva pratīteḥ nimittam abhāvaḥ pratipattavyaḥ iha gṛhīte vṛkṣa abhāve hi śiṃśapātvā abhāva pratītau pratītaḥ vyāpya vyāpaka bhāvaḥ abhāva pratipattiḥ ca sarvatra dṛśya anupalabdheḥ eva tasmāt virodham kārya kāraṇa bhāvam vyāpya vyāpaka bhāvam ca smaratā virodha kārya kāraṇa bhāva vyāpya vyāpaka bhāvi viṣaya abhāva pratipatti nibandhanam dṛśya anupalabdhiḥ smartavyā dṛśya anupalabdhi asmaraṇe virodha ādīnām asmaraṇam tathā ca sati na viruddha ādi vidhi pratiṣedhābhyām itara abhāva pratītiḥ syāt virodha ādi grahaṇa kāla bhāvinyām ca dṛśya anupalabdhau avaśya smartavyāyām tatas eva abhāva pratītiḥ 
[146,i_147,i]	tatra yadi api saṃpratitanī na asti dṛśya anupalabdhiḥ virodha ādi grahaṇa kāle tu āsīt yā dṛśya anupalabdhiḥ saṃprati smaryamāṇā sā eva abhāva pratipatti nibandhanam tatas saṃprati na asti dṛśya anupalabdhiḥ iti abhāva sādhana tvena dṛśya anupalabdhi prayogāt bhidyante kārya anupalabdhi ādi prayogāḥ viruddha vidhinā kāraṇa ādi niṣedhena ca yatas dṛśya anupalabdhiḥ ākṣiptā tatas dṛśya anupalabdheḥ eva kāla antara vṛttāyāḥ smṛti viṣaya bhūtāyāḥ abhāva pratipattiḥ amīṣām ca prayogāṇām dṛśya anupalabdhau antarbhāvaḥ tat anena sarveṇa dṛśya anupalabdhau antarbhāvaḥ daśānām anupalabdhi prayogāṇām pāramparyeṇa darśitaḥ iti veditavyam 
[148,i_148,ii]	uktāḥ dṛśya anupalabdhiḥ abhāve abhāva vyavahāre ca sādhye pramāṇam adṛśya anupalabdhiḥ tu kiṃsvabhāvā kiṃvyāpārā ca iti āha viprakṛṣṭa ityādi viprakṛṣṭaḥ tribhiḥ deśa kāla svabhāva viprakarṣaiḥ yasyāḥ viṣayaḥ sā viprakṛṣṭa viṣaya iti saṃśaya hetuḥ kiṃsvabhāvā sā iti āha pratyakṣa anumāna nivṛttiḥ lakṣaṇam svabhāvaḥ yasyāḥ sā pratyakṣa anumāna nivṛtti lakṣaṇā na jñāna jñeya svabhāva iti yāvat 
[149,i_149,ii]	nanu ca pramāṇāt prameya sattā vyavasthā tatas pramāṇa abhābāt prameya abhāva pratittiḥ yuktā iti āha pramāṇa nivṛttau api iti āha kāraṇam vyāpakam ca nivartamānam kāryam vyāpyam ca nivartayet na ca pramāṇam prameyasya kāraṇam na api vyāpakam atas pramāṇayoḥ nivṛttau api arthasya prameyasya nivṛttiḥ na sidhyati tatas asiddheḥ saṃśaya hetuḥ adṛśya anupalabdhiḥ na niścaya hetuḥ yat punar pramāṇa sattayā prameya sattā sidhyati tat yuktam prameya kārya hi pramāṇam na ca kāraṇam antareṇa kāryam asti na tu kāraṇāni avaśyam kāryavanti bhavanti tasmāt pramāṇāt prameya sattā vyavasthāpya a na pramāṇa amāvāt prameya abhāva vyavasthā iti 
[150,i_150,ii]	sva artha para artha anumānayoḥ sva artham vyākhyāya para artha vyākhyātu kāmaḥ āha trirūpa liṅga ākhyānam iti trīṇi rūpāṇi anvaya vyatireka pakṣa dharma tva saṃjñakāni yasya tat trirūpam trirūpam ca tat liṅgam ca tasya ākhyānam ākhyāyate prakāśyate anena iti trirūpam liṅgam iti ākhyānam kim punar tat vacanam vacanena hi trirūpam liṅgam ākhyāyate para smāyidam para artham 
[150,iii_150,iv]	nanu ca samyak jñāna ātmakam anumānam uktam tat kim artham saṃprati vacana ātmakam anumānam ucyate iti āha kāraṇe kārya upacārāt iti trirūpa liṅga abhidhānāt trirūpa liṅga smṛtiḥ utpadyate smṛteḥ ca anumānam tasmāt anumānasya paramparayā trirūpa liṅga abhidhānam kāraṇam tasmin kāraṇe vacane kāryasya anumānasya upacāraḥ samāropaḥ kriyate tatas samāropāt kāraṇam vacanam anumāna śabdena ucyate aupacārikam vacanam anumānam na mukhyam iti arthaḥ na yāvat kiṃcid upacārāt anumāna śabdena vaktum śakyam tāvat sarvam vyākhyeyam kintu anumānam vyākhyātu kāmena anumāna svarūpasya vyākhyeya tvāt nimittam vyākhyeyam nimittam ca trirūpam liṅgam tat ca svayam vā pratītam anumānasya nimittam bhavati pareṇa vā pratipāditam bhavati tasmāt liṅgasya svarūpam ca vyākhyeyam tad pratipādakaḥ ca śabdaḥ tatra svarūpam sva artha anumāne vyākhyātam pratipādakaḥ ca śabdaḥ iha vyākhyeyaḥ tatas pratipādakam śabdam avaśyam vaktavyam darśayan anumāna śabdena uktavān ācāryaḥ iti parama arthaḥ 
[151,i_152,i]	para artha anumānasya prakāra bhedam darśayitum āha tat dvividham iti tat iti para artha anumānam dvau vidhau prakārau yasya tat dvividham 
[152,ii_152,iii]	kutas dvividham iti āha prayogasya śabda vyāpārasya bhedāt prayuktiḥ prayoga ūrtha abhidhānam śabdasya artha abhidhāna vyāpāra bhedāt dvividham anumānam 
[152,iv_152,v]	tat eva abhidhāna vyāpāra nibandhanam dvaividhyam darśayitum āha sādharmya vat vaidharmmavat ca iti samānaḥ dharmaḥ asya saḥ ayam sadharmā tasya bhāvaḥ sādharmyam visadṛśaḥ dharmaḥ asya vidharmā vidharmaṇaḥ bhāvaḥ vaidharmyam dṛṣṭānta dharmiṇā saha sādhya dharmiṇaḥ sādṛśyam hetu kṛtam sādharmyam ucyate asādṛśyam ca hetu kṛtam vaidharmyaṃmucyate tatra yasya sādhana vākyasya sādharmyam abhidheyam tat sādharmya vat yathā yata kṛtakam tat anityam yathā ghaṭaḥ tathā ca kṛtakaḥ śabdaḥ iti atra kṛtaka tva kṛtam dṛṣṭānta sādhya dharmiṇoḥ sādṛśyam abhidheyam yasya tu vaidharmyam abhigheyam tat vaidharmya vat yathā yat nityam tat akṛtakam dṛṣṭam yathā ākāśam śabdaḥ tu kṛtakaḥ iti kṛtaka tvā akṛtaka tva kṛtam śabda ākāśayoḥ sādhya dṛṣṭānta dharmiṇoḥ asādṛśyam iha abhidheyam 
[152,vi_152,vii]	yadi anayoḥ prayogayoḥ abhidheyam bhinnam katham tarhi trirūpam liṅgam abhinnam prakāśyam iti āha nānayoḥ arthataḥ iti arthaḥ prayojanam yat prayojanam prakāśayitavyam vastu uddiśya anumāne prayujyete tatas prayojanāt anayoḥ na bhedaḥ kaścid trirūpam hi liṅgam prakāśayitavyam tat uddiśya dve api ete prayujyete dvābhyām api trirūpam liṅgam prakāśyate eva tatas prakāśayitavyam prayojana m anayoḥ abhinnam tathā ca na tatas bhedaḥ kaścid 
[153,i_153,iii]	abhidheya bhedaḥ api tarhi na syāt iti āha anyatra prayoga bhedāt iti prayogaḥ abhidhānam vācaka tvam vācaka tva bhedāt anyaḥ bhedaḥ prayojana kṛtaḥ na asti iti arthaḥ etat uktam bhavati anyat abhidheyam anyat prakāśyam prayojanam tatra abhigheya apekṣayā vācaka tvam bhidyate prakāśyam tu abhinnam anvaye hi kathite vakṣyamāṇena nyāyena vyatireka gatiḥ bhavati vyatireke ca anvaya gatiḥ tatas trirūpam liṅgam prakāśyam abhinnam na ca yatra abhidheya bhedaḥ tatra sāmarthya gamyaḥ api arthaḥ bhidyate yasmāt pīnaḥ devadattaḥ divā na bhuṅkte pīnaḥ devadattaḥ rātrau bhuṅkte iti anayoḥ vākyayoḥ abhidheya bhedepi gamyamānam ekam eva tadvat iha abhidheya bhedepi gamyasānam vastu ekam eva 
[154,i_154,ii^1]	tatra iti tayoḥ sādharmya vaidharmyavatoḥ anumānayoḥ sādharmya vat tāvat uhāran anupalabdhim āha yat ityādinā yat upalabdhi lakṣaṇa prāptam yat dṛśyam sanna upalabhyate iti anena dṛśya anupalambhaḥ anūdyate saḥ asat vyavahāra viṣayaḥ siddhaḥ tat asat iti vyavahartavyam iti arthaḥ anena asat vyavahāra yogya tvasya vidhiḥ kṛtaḥ tatas ca asat vyavahāra yogya tve dṛśya anupalambhaḥ niyataḥ kathitaḥ dṛśyam anupalabdham asat vyavahāra yogyam eva iti arthaḥ sādhanasya ca sādhye arthe niyata tva kathanam vyāpti kathanam yathā uktam vyāpti rvyāpakasya tatra bhāvaḥ eva 
[154,ii^2]	vyāpyasya vā tatra eva bhāvaḥ iti vyāpti sādhanasya pramāṇasya viṣayaḥ dṛṣṭāntaḥ tam eva darśayitum āha yathā anyaḥ iti sādhya dharmiṇaḥ anyaḥ dṛṣṭāntaḥ iti arthaḥ dṛṣṭaḥ iti pramāṇena niścitaḥ śaśa viṣāṇam hi na cakṣuṣā viṣayīkṛtam api tu pramāṇena dṛśya anupalambhena asat vyavahāra yogyam vijñātam śaśa viṣāṇam ādiḥ yasya asat vyavahāra viṣayasya sa tathā uktaḥ śaśa viṣāṇa ādau hi dṛśya anupalambha mātra nimittaḥ asa dvaya vahāraḥ pramāṇena siddhaḥ tatas eva pramāṇāt anena vākyena abhidhīyamānā vyāptiḥ jñātavyā 
[155,i]	saṃprati vyāptim kathayitvā dṛśya anupalambhasya pakṣa dharma tvam darśayitum āha na upalabhyate ca iti pradeśaḥ eka deśaḥ pṛthivyāḥ saḥ eva viśiṣyate anyasmāt iti viśeṣaḥ ekaḥ pradeśa viśeṣaḥ iti ekasmin pradeśe kvacid iti pratipattuḥ pratyakṣaḥ ekaḥ api pradeśaḥ saḥ eva abhāva vyavahāra adhikaraṇam yaḥ pratipattuḥ pratyakṣaḥ na anyaḥ upalabdhi lakṣaṇa prāptaḥ iti dṛśyaḥ yathā ca asataḥ api ghaṭasya samāropitam upalabdhi lakṣaṇa prāpta tvam tathā vyākhyātam 
[156,i_156,ii]	svabhāva hetoḥ sādharmyavantam prayogam darśayitum āha tathā iti yathā anupalabdheḥ tathā svabhāva hetoḥ sādharmyavān prayogaḥ iti arthaḥ yat sat iti sattvam anūdya tat sarvam anityam iti anitya tvam vidhīyate sarva grahaṇam ca niyama artham sarvam anityam na kiñcid na anityam yat sat tat anityam eva anitya tvāt anyatra nitya tve sattvam na asti iti evam sattvam anitya tve sādhye niyatam khyāpitam bhavati tathā ca sati vyāpti pradarśana vākyam idam yathā ghaṭa ādiḥ iti vyāpti sādhakasya pramāṇasya viṣaya kathanam etat śuddhasya iti nirviśeṣaṇasya svabhāvasya prayogaḥ 
[157,i_157,iii]	sa viśeṣaṇam darśayitum āha yat utpattimat iti utpatiḥ svarūpa lābhaḥ yasya asti tat utpattimat utpatti mittvam anūdya tad anityam iti anitya tva vidhiḥ tathā ca sati utpattimat tvam anitya tve niyatam ākhyātam svabhāvam bhūtaḥ tad ātmakaḥ dharmaḥ tasya bhedena bhedam hetūkṛtya prayogaḥ anutpannebhyaḥ hi vyāvṛttim āśritya utpannaḥ bhāvaḥ iti ucyate sā eva vyāvṛttiḥ yadā vyāvṛtti antara nirapekṣā vaktum iṣyate tadā vyatirekiṇī iva nirdiśyate bhāvasya utpattiḥ iti tayā ca vyatiriktayā iva utpattyā viśiṣṭam vastu utpattim at uktam tena svabhāva bhūtena dharmeṇa kalpita bhedena viśiṣṭaḥ svabhāvaḥ prayuktaḥ draṣṭavyaḥ 
[158,i_158,iii]	yat kṛtakam iti kṛtaka tvam anūdya anitya tvam vidhīyate iti anitya tve niyatam kṛtaka tvam uktam atas vyāptiḥ anitya tvena kṛtaka tvasya darśitā upādhi bhedena svabhāvasya prayogaḥ iti saṃbandhaḥ upādhiḥ viśeṣaṇam tasya bhedena bhinnena upādhinā viśiṣṭaḥ svabhāvaḥ prayuktaḥ iti arthaḥ iha kadācid śuddhaḥ eva arthaḥ ucyate kadācid avyatiriktena viśeṣaṇena viśiṣṭaḥ kadācid vyatiriktena devadattaḥ iti śuddhaḥ lambakarṇaḥ iti abhinna karṇa dvaya viśiṣṭaḥ citraguḥ iti vyatirikta citra gavīviśiṣṭaḥ tadvat sattvam śuddham utpatimat tvam avyatirikta viśeṣaṇam kṛtaka tvam vyatirikta viśeṣaṇam 
[159,i_159,iii]	nanu ca citra gu śabde vyatiriktasya viśeṣaṇasya vācakaḥ citra śabdaḥ go śabdaḥ ca asti kṛtaka śabde tu nirviśeṣaṇa vācinaḥ śabdasya prayoga uḥ ti iti āśaṅkya āha apekṣitā iti pareṣām kāraṇānām vyāpāraḥ svabhāvasya niṣpattau niṣpatti artham apekṣitaḥ para vyāpāraḥ yana sa tathā uktaḥ hi iti yasmāt arthe yasmāt apekṣita para vyāpāraḥ kṛtakaḥ ucyate tasmāt vyatiriktena viśeṣaṇena viśiṣṭaḥ svabhāvaḥ ucyate yadi api vyatiriktam viśeṣaṇa padam na prayuktam tathā api kṛtaka śabdena eva vyatiriktam viśeṣaṇa padam antar bhāvitam atas eva saṃjñā prakāraḥ ayam kṛtaka śabdaḥ yasmāt saṃjñāya āmayam kan pratyayaḥ vihitaḥ yatra ca viśeṣaṇam antar bhāvyate tatra viśeṣaṇa padam na prayujyate kvacid tu pratīyamānam viśeṣaṇam yathā kṛtaḥ iti ukte hatubhiḥ iti atat pratāyate tatra ca hetu śabdaḥ prayujyate kadācid na vā prayujyate 
[159,iv_160,ii]	prayujyamānasva śabdaḥ ca yathā pratyaya bheda bhedi śabde pratyaya bheda śabdaḥ yathā ca kṛtaka śabdaḥ bhinna viśeṣaṇa svabhāva abhidhāyī evam pratyaya bheda bhedi tvam ādiḥ yeṣām prayatna antarīyaka tva ādīnām te api svabhāva hetoḥ prayogāḥ bhinna viśeṣaṇa svabhāva abhidhāyinaḥ draṣṭavyāḥ pratyayānām kāraṇānām bhedaḥ viśeṣaḥ tena pratyaya kāla ābhet enam bhettum śīlam yasyasa pratyaya bheda bhedī śabdaḥ tasya bhāvaḥ pratyaya bheda bhedi tvam tatas pratyaya bheda bhedi tvāt śabdasya kṛtaka tvam sādhyate prayatna anantarīyaka tvāt anitya tvam tatra pratyaya bheda śabdaḥ vyatirikta viśeṣaṇa abhidhāyī pratyaya bheda bhedi śabde prayuktaḥ prayatna anantarīyaka śabde ca prayatna śabdaḥ tat evam trividhaḥ svabhāva hetu prayogaḥ darśitaḥ śuddhaḥ avyatirikta viśeṣaṇaḥ vyatirikta viśeṣaṇaḥ ca evam artham ca etat ākhyātam vācaka bhedāt mā bhūt kasyacid svabhāva hetau api prayukte vyāmohaḥ iti 
[160,iii]	
[160,iv_160,v]	atha kim ete svabhāva hetavaḥ siddha sambandhe svabhāve sādhye prayoktavyā āhosvit asiddha sambandhaḥ iti āśaṅkya siddha sambandhe prayoktavyāḥ iti darśayitum āha sarve ete iti gamaka tvāt sādhanāni para āśrita tvāt ca dharmāḥ sādhana dharmāḥ eva sādhana dharma mātram mātra śabdena adhikasya apekṣaṇīyasya nirāsaḥ tasya anubandhaḥ anugamanam anvayaḥ siddhaḥ sādhana dharma mātra anubandhaḥ yasya sa tathā uktaḥ kena siddhaḥ iti āha yathāsvam pramāṇaiḥ iti yasya sādhya dharmasya yat ā ātmīyam pramāṇam tena eva pramāṇena siddhaḥ iti arthaḥ svabhāva hetūnām ca bahu bheda tvāt saṃbandha sādhanāni api pramāṇāni bahūni iti pramāṇaiḥ iti bahuvacana nirdeśaḥ gamayitavya tvāt sādhyaḥ para āśrita tvāt ca dharmaḥ sādhya dharmaḥ 
[161,i_162,ii]	tat ayam parama arthaḥ na hetuḥ pradīpa vat yogyatayā gamakaḥ api tu na antarīyaka tayā viniścitaḥ sādhya avinābhāvi tva niścayanam eva hi hetoḥ sādhya pratipādana vyāpāraḥ na anyaḥ kaścid prathamam bādhakena pramāṇena sādhya pratibandhaḥ niścetavyaḥ hetoḥ punar anumāna kāle sādhanam sādhya na antarīyakam sāmānyena smartavyam kṛtaka tvam nāma anitya svabhāvam iti sāmānyena smṛtam artha punar viśeṣe yojayati idam api kṛtaka tvam śabde vartamānam anitya svabhāvam eva iti tatra sāmānya smaraṇam liṅga jñānam viśiṣṭasya tu śabda gata kṛtaka tvasyāḥ anitya tva svabhāvasya smaraṇam anumāna jñānam tathā ca satya vinābhāvi tva jñānam eva parokṣa arthapratipādaka tvam nāma tena niścita tanmātra anubandhe sādhya dharme svabhāva hetavaḥ prayoktavyā na anyatra iti uktam 
[162,iii_162,iv]	yadi evam sambandhaḥ niścetavyaḥ sādhyasya sādhanena saha sādhana dharma mātra anubandhaḥ tu sādhyasya kasmāt niścitaḥ mṛgyate iti āha tasya eva iti siddha sādhana dharma mātra anubandhasya tad svabhāva tvāt iti sādhana dharma rava bhāva tvāt yaḥ hi sādhya dharmaḥ sādhana dharma mātra anubandhavāt saḥ eva tasya sādhana dharmasya svabhāvaḥ na anyaḥ 
[162,v_162,vi]	bhavatu īdṛśaḥ eva svabhāvaḥ svabhāvaḥ eva tu sādhye kasmāt hetu prayogaḥ svabhāvasya ca hetu tvāt svabhāvaḥ eva iha hetuḥ prakrāntaḥ tasmāt saḥ eva sādhyaḥ kartavyaḥ yaḥ sādhanasya svabhāvaḥ syāt sādhana dharma mātra anubandhavān ca svabhāvaḥ na anyaḥ 
[162,vii_162,viii]	yadi sādhya dharmaḥ sādhanasya svabhāvaḥ syāt pratijñā artha eka deśaḥ tarhi hetuḥ syāt iti āha vastutas iti vastutas paramārthataḥ sādhya sādhanayoḥ tādātmyam samāropitaḥ tu sādhya sādhana bhedaḥ sādhya sādhana bhāvaḥ hi niścaya ārūḍhe rūpe niścaya ārūḍham ca rūpam samāropitena bhedena itaretara vyāvṛtti kṛtena bhinnam iti anyat sādhanam anyat sādhyam dūrāt hi śākhā ādimānarthaḥ bṛkṣaḥ iti niścīyate na śiṃśapa iti atha ca saḥ eva vṛkṣaḥ sā eva śiṃśapā tasmāt abhinnam api vastu niścayaḥ bhinnam ādarśayati vyāvṛtti bhedena tasmāt niścaya ārūḍha rūpa apekṣayā anyat sādhanama anyat sādhyam atas na pratijñā artha eka deśaḥ hetuḥ vāstavam ca tādātmyam iti 
[163,i_163,iii]	kasmāt punar sādhana dharma mātra anubandhyā iva sādhyaḥ svabhāvaḥ na anyaḥ iti āha tad niṣpattau iti yaḥ hi yat na anubadhnāti sa tad niṣpatta a aniṣpannaḥ tasya tad niṣpatta a aniṣpannasya sādhana svabhāva tvam ayuktam yatas niṣpatti aniṣpattī bhāva abhāva rūpe bhāva abhāvau ca paraspara parihāreṇa sthitau yadi ca pūrva niṣpannasya aniṣpannasya ca aikyam bhavet ekasya eva arthasya bhāva abhāvau syātām yugapad na ca viruddhayoḥ bhāva abhāvayoḥ aikyam yujyate viruddha dharma saṃsarga ātmaka tvāt ekatva abhāvasya kiñca paścāt utpadyamānam pūrva niṣpannāt bhinna hetukam hetu bheda pūrvakaḥ ca kārya bhedaḥ tatas niṣpannā niṣpannayoḥ viruddha dharma saṃsarga ātmakaḥ bhedaḥ bheda hetuḥ ca kāraṇa bhedaḥ iti kutas eka tvam tasmāt sādhana dharma mātra anubandhyā iva sādhyaḥ svabhāvaḥ na anyaḥ 
[163,iv_163,v]	mā bhūt paścāt niṣpannaḥ pūrvajasya svabhāvaḥ sādhyaḥ tu kasmāt na bhavati iti āha vyabhicāra ityādi pūrvajena paścāt niṣpannasya vyabhicāraḥ parityāgaḥ yaḥ tasya saṃbhavāt ca na pūrva niṣpannasya paścāt niṣpannaḥ sādhyaḥ tasmāt sādhana dharma mātra anubandhyā iva svabhāvaḥ saḥ eva ca sādhyaḥ tathā ca siddha sādhana dharma mātra anubandhaḥ eva svabhāve svabhāva hetavaḥ prayoktavyāḥ iti sthitam 
[164,i_164,iv]	kārya hetoḥ prayogaḥ sādharmyavān iti prakaraṇāt apekṣaṇīyam yatra dhūmaḥ iti dhūmam anūdya tatra agniḥ iti agne rvidhiḥ tathā ca niyama arthaḥ pūrvavat avagantavyaḥ tat anena kārya kāraṇa bhāva nimittā vyāptiḥ darśitā vyāpti sādhana pramāṇa viṣayam darśayitum āha yathā mahānasa ādau iti mahānasa ādau hi pratyakṣa anupalambhābhyām kārya kāraṇa bhāva ātmā vinābhāvaḥ niścitaḥ asti ca iha iti sādhya dharmiṇi pakṣa dharma upasaṃhāraḥ 
[164,v_164,vi]	iha api iti na kevalam svabhāva hetau iha api kārya hetau siddhaḥ eva iti niścite kārya kāraṇa tve kārya kāraṇa bhāva niścayaḥ hi avaśyam kartavyaḥ yatas na yogyatayā hetuḥ gamakaḥ api tu na antarīyaka tvāt iti uktam 
[165,i_165,ii]	sādharmyavān svabhāva kārya anupalambhānām prayogaḥ darśitaḥ vaidharmyavantam darśayitum āha vaidharmyavataḥ iti yat sat upalabdhi lakṣaṇa prāptam iti yat sat dṛśyam iti astitva anuvādaḥ tat upalabhyate iti upalambha vidhiḥ tat anena dṛśyasya sattvam darśana viṣaya tvena vyāptam kathitam asattva nivṛttiḥ ca sattvam a anupalambha nivṛttiḥ ca upalambhaḥ tena sādhya nivṛtti anuvādena sādhana nivṛttiḥ vihitā tathā ca sādhya nivṛttiḥ sādhana nivṛttau niyata tvāt sādhana nivṛttyā vyāptā kathitā yadi ca dharmiṇi sādhya dharmaḥ na bhavet hetuḥ api na bhavet hetu abhāvena sādhya abhāvasya vyāpta tvāt asti ca hetuḥ atas vyāpakasya sādhana ābhāḥ vasya abhāvāt vyāpyasya sādhya abhāvasya abhāvaḥ iti sādhya gati rbhavati tatas vaidharmya prayoge sādhana abhāve sādhya abhāvaḥ niyataḥ darśanīyaḥ sarvatriti nyāyaḥ 
[166,i_166,ii]	svabhāva hetoḥ vaidharmya prayogam āha asatya nitya tvaḥ iti iha anitya tvasya sādhyasya abhāvaḥ hetoḥ abhāve niyataḥ ucyate tena hetu abhāvena sādhya abhāvaḥ vyāptaḥ uktaḥ triṣu api svabhāva hetuṣu san utpattimān kṛtakaḥ vā śabdaḥ iti trayāṇām api pakṣa dharma tva pradarśanam iha ca sādhana abhāvasya vyāpakasya abhāvaḥ uktaḥ tatas vyāpyaḥ api sādhya abhāvaḥ nivartate iti sādhya gatiḥ 
[166,iii_166,iv]	kārya hetoḥ vā edha rmyavat prayogam āha asatyagnau iti iha api vahni abhāvaḥ dhūma abhāvena vyāptaḥ uktaḥ asti ca atra dhūmaḥ iti vyāpakasya dhūma abhāvasya abhāvaḥ uktaḥ tatas vyāpyasya vahni abhāvasya abhāve sādhya gatiḥ 
