<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[6,7.31]	sahasrasaṃvatsaraṃ tadāyuṣām asaṃbhavān manuṣyeṣu.
[6,7.32]	api vā tadadhikārān manuṣyadharmaḥ syāt.
[6,7.33]	nāsāmarthyāt.
[6,7.34]	sambandhādarśanāt.
[6,7.35]	sa kulakalpaḥ syād iti kārṣṇājinir ekasminn asaṃbhavāt.
[6,7.36]	api vā kṛtsnasaṃyogād ekasyaiva prayogaḥ syāt.
[6,7.37]	vipratiṣedhāt tu guṇyanyataraḥ syād iti lāvukāyanaḥ.
[6,7.38]	saṃvatsaro vicālitvāt.
[6,7.39]	sā prakṛtiḥ syād adhikārāt.
[6,7.40]	ahāni vābhisaṃkhyatvāt.

{6,8}

[6,8.1]	iṣṭipūrvatvād akratuśeṣo homaḥ saṃskṛteṣv agniṣu syād pūrvo 'py ādhānasya sarvaśeṣatvāt.
[6,8.2]	iṣṭitve na tu saṃstavaś caturhotṝn asaṃskṛteṣu darśayati.
[6,8.3]	upadeśas tv apūrvatvāt.
[6,8.4]	sa sarveṣām aviśeṣāt.
[6,8.5]	api vā kratvabhāvād anāhitāgner aśeṣabhūtanirdeśaḥ.
[6,8.6]	japo vānagnisaṃyogāt.
[6,8.7]	iṣṭitvena saṃstute homaḥ syād anārabhyāgnisaṃyogād itareṣām avācyatvāt.
[6,8.8]	ubhayoḥ pitṛyajñavat.
[6,8.9]	nirdeśo vānāhitāgner anārabhyāgnisaṃyogāt.
[6,8.10]	pitṛyajñe saṃyuktasya punar vacanam.
[6,8.11]	upanayann ādadhīta homasaṃyogāt.
[6,8.12]	sthapatīṣṭaval laukike vā vidyākarmānupūrvatvāt.
[6,8.13]	ādhānaṃ ca bhāryāsaṃyuktam.
[6,8.14]	akarma cordhvam ādhānāt tatsamavāyo hi karmabhiḥ.
[6,8.15]	śrāddhavad iti cet.
[6,8.16]	na śrutivipratiṣedhāt.
[6,8.17]	sarvārthatvāc ca putrārtho na prayojayet.
[6,8.18]	somapānāt tu prāpaṇaṃ dvitīyasya tasmād upayacchet.
[6,8.19]	pitṛyajñe tu darśanāt prāg ādhānāt pratīyeta.
[6,8.20]	sthapatīṣṭiḥ prayājavad agnayādheyaṃ prayojayet tādarthyāc cāpavṛjyeta.
[6,8.21]	api vā laukike 'gnau syād ādhānasyāsarvaśeṣatvāt.
[6,8.22]	avakīrṇipaśuś ca tadvad ādhānasyāprāptakalatvāt.
[6,8.23]	udagayanapūrvapakṣāhaḥ puṇyāheṣu daivāni smṛtirūpāny ārthadarśanāt.
[6,8.24]	ahani ca karmasākalyam.
[6,8.25]	itareṣu tu pitryāṇi.
[6,8.26]	yācñākrayaṇam avidyamāne lokavat.
[6,8.27]	niyataṃ vārthavatvāt syāt.
[6,8.28]	tathā bhakṣapraiṣāc chādanasaṃjñaptahomadveṣam.
[6,8.29]	anarthakaṃ tv anityaṃ syāt.
[6,8.30]	paśucodanāyām aniyamo 'viśeṣāt.
[6,8.31]	chāgo vā mantravarṇāt.
[6,8.32]	na codanāvirodhāt.
[6,8.33]	ārṣeyavad iti cet.
[6,8.34]	na tatra hy acoditvāt.
[6,8.35]	niyamo vaikārthyaṃ hy arthabhedād bhedaḥ pṛthavatvenābhidhānāt.
[6,8.36]	aniyamo vārthāntaratvād anyatvaṃ vyatirekaśabdabhedābhyām.
[6,8.37]	rūpāl liṅgāc ca.
[6,8.38]	chāge na karmākhyā rūpaliṅgābhyām.
[6,8.39]	rūpānyatvān na jātiśabdaḥ syāt.
[6,8.40]	vikāro nautpattikatvāt.
[6,8.41]	sa naimittikaḥ paśor guṇasyācoditatvāt.
[6,8.42]	jāter vā tatprāyavacanārthavatvābhyām.

<7>

{7,1}

[7,1.1]	śrutipramāṇatvāc cheṣāṇāṃ mukhyabhede yathādhikāraṃ bhāvaḥ syāt.
[7,1.2]	utpattyarthāvibhāgād vā sattvavad aikadharmyaṃ syāt.
[7,1.3]	codanāśeṣabhāvād vā tadbhedād vyavatiṣṭherann utpatter guṇabhūtatvāt.
[7,1.4]	satve lakṣaṇasaṃyogāt sārvatrikaṃ pratīyeta.
[7,1.5]	avibhāgāt tu naivaṃ syāt.
[7,1.6]	dvyarthatvaṃ ca vipratiṣiddham.
[7,1.7]	utpattau vidhyabhāvād vā codanāyāṃ pravṛttiḥ syāt tataś ca karmabhedaḥ syāt.
[7,1.8]	yadi vāpy abhidhānavat sāmānyāt sarvadharmaḥ syāt.
[7,1.9]	arthasya tv avibhaktatvāt tathā syād abhidhāneṣu pūrvavattvāt prayogasya karmaṇaḥ śabdabhāvyatvād vibhāgāc cheṣāṇām apravṛttiḥ syāt.
[7,1.10]	smṛtir iti cet.
[7,1.11]	na pūrvavatvāt.
[7,1.12]	arthasya śabdabhāvyatvāt prakaraṇanibandhanāc chabdād evānyatra bhāvaḥ syāt.
[7,1.13]	sāmāne pūrvavatvād utpannādhikāraḥ syāt.
[7,1.14]	śyenasyeti ceti.
[7,1.15]	nāsannidhānāt.
[7,1.16]	api vā yady apūrvatvād itaradadhikārthe jyautiṣṭomikād vidhes tadvācakaṃ samānaṃ syāt.
[7,1.17]	pañcasañcareṣv arthavādātideśaḥ sannidhānāt.
[7,1.18]	sarvasya vaikaśabdyāt.
[7,1.19]	liṅgadarśanāc ca.
[7,1.20]	vihitāmnānān neti cet.
[7,1.21]	netarārthatvāt.
[7,1.22]	ekakapālaindrāgnau ca tadvat.
[7,1.23]	ekakapālānāṃ vaiśvadevikaḥ prakṛtir āgrayaṇe sarvahomāparivṛttidarśanād avabhṛthe ca sakṛd dvyavadānasya vacanāt.

{7,2}

[7,2.1]	sāmno 'bhidhānaśabdena pravṛttiḥ syād yathāśiṣṭam.
[7,2.2]	śabdais tv arthavidhitvād arthāntare 'pravṛttiḥ syāt pṛthagbhāvāt kriyāyā hy abhisambandhaḥ.
[7,2.3]	svārthe vā syāt prayojanaṃ kriyāyās tadaṅgabhāvenopadiśyeran.
[7,2.4]	śabdamātram iti cet.
[7,2.5]	nautpattikatvāt.
[7,2.6]	śāstraṃ caivam anarthakaṃ syāt.
[7,2.7]	svarasyeti cet.
[7,2.8]	nārthābhāvāc chruter asaṃbandhaḥ.
[7,2.9]	svaras tūtpattiṣu syān mātrāvarṇāvibhaktatvāt.
[7,2.10]	liṅgadarśanāc ca.
[7,2.11]	aśrutes tu vikārasyottarāsu yathāśruti.
[7,2.12]	śabdānāṃ cāsāmañjasyam.
[7,2.13]	api tu karmaśabdaḥ syād bhāvo 'rthaḥ prasiddhagrahaṇatvād vikāro hy aviśiṣṭo 'nyaiḥ.
[7,2.14]	adravyaṃ cāpi dṛśyate.
[7,2.15]	tasya ca kriyā grahaṇārthā nānārtheṣu virūpitvād artho hy āsāmalaukiko vidhānāt.
[7,2.16]	tasmin saṃjñāviśeṣāḥ syur vikārapṛthaktvāt.
[7,2.17]	yoniśasyāś ca tulyavad itarābhir vidhīyante.
[7,2.18]	ayonau cāpi dṛśyate 'tathāyoni.
[7,2.19]	aikārthye nāsti vairūpyam iti cet.
[7,2.20]	syād arthāntareṣv aniṣpatter yathā pāke.
[7,2.21]	śabdānāṃ ca sāmañjasyaṃ.

{7,3}

[7,3.1]	uktaṃ kriyābhidhānaṃ tacchrutāv anyatra vidhipradeśaḥ syāt.
[7,3.2]	apūrve vāpi bhāgitvāt.
[7,3.3]	nāmnas tv autpattikatvāt.
[7,3.4]	pratyakṣād guṇasaṃyogāt kriyābhidhānaṃ syāt tadabhāve 'prasiddhaṃ syāt.
[7,3.5]	api vā satrakarmaṇi guṇārthaiṣā śrutiḥ syāt.
[7,3.6]	viśvajiti sarvapṛṣṭhe tatpūrvakatvāj jyautiṣṭomikāni pṛṣṭhāny asti ca pṛṣṭhaśabdaḥ.
[7,3.7]	ṣaḍahād vā tatra hi codanā.
[7,3.8]	liṅgāc ca.
[7,3.9]	utpannādhikāro jyotiṣṭomaḥ.
[7,3.10]	dvayor vidhir iti cet.
[7,3.11]	na vyarthatvāt sarvaśabdasya.
[7,3.12]	tathāvabhṛthaḥ somāt.
[7,3.13]	prakṛter iti cet.
[7,3.14]	na bhaktitvāt.
[7,3.15]	liṅgadarśanāc ca.
[7,3.16]	dravyādeśe taddravyaḥ śrutisaṃyogāt puroḍāśas tv anādeśe tatprakṛtitvāt.
[7,3.17]	guṇavidhis tu na gṛhṇīyāt samatvāt.
[7,3.18]	nirmanthyādiṣu caivam.
[7,3.19]	praṇayanaṃ tu saumikam avācyaṃ hītarat.
[7,3.20]	uttaravedipratiṣedhaś ca tadvat.
[7,3.21]	prākṛtaṃ vānāmatvāt.
[7,3.22]	parisaṅkhyarthaṃ śravaṇaṃ guṇārthavādo vā.
[7,3.23]	prathamottamayoḥ praṇayanamuttaravedipratiṣedhāt.
[7,3.24]	madhyamayor vā gatyarthavādāt.
[7,3.25]	auttaravediko 'nārabhyavādapratiṣedhaḥ.
[7,3.26]	svarasāmaikakapālāmikṣaṃ ca liṅgadarśanāt.
[7,3.27]	codanāsāmānyād vā.
[7,3.28]	karmaje karma yūpavat.
[7,3.29]	rūpaṃ vāśeṣabhūtatvāt.
[7,3.30]	viśaye laukikaḥ syāt sarvārthatvāt.
[7,3.31]	na vaidikam arthanirdeśāt.
[7,3.32]	tathotpattir itareṣāṃ samatvāt.
[7,3.33]	saṃskṛtaṃ syāt tacchabdatvāt.
[7,3.34]	bhaktyā vāyajñaśeṣatvād guṇānām abhidhānatvāt.
[7,3.35]	karmaṇaḥ pṛṣṭaśabdaḥ syāt tathābhūtopadeśāt.
[7,3.36]	abhidhānopadeśād vā vipratiṣedhād dravyeṣu pṛṣṭhaśabdaḥ syāt.

{7,4}

[7,4.1]	itikartavyatā vidher yajateḥ pūrvavattvam.
[7,4.2]	sa laukikaḥ syād dṛṣṭapravṛttitvāt.
[7,4.3]	vacanāt tu tato 'nyatvam.
[7,4.4]	liṅgena vā niyamyeta liṅgasya tadguṇatvāt.
[7,4.5]	api vānyāyapūrvatvād yatra nityānuvādavacanāni syuḥ.
[7,4.6]	mitho vipratiṣedhāc ca guṇānāṃ yathārthatalpanā syāt.
[7,4.7]	bhāgitvāt tu niyamyeta guṇānām abhidhānatvāt sambandhād abhidhānavad yathā dhenuḥ kiśoreṇa.
[7,4.8]	utpattīnāṃ samatvād vā yathādhikāraṃ bhāvaḥ syāt.
[7,4.9]	utpattiśeṣavacanaṃ ca vipratiṣiddham ekasmin.
[7,4.10]	vidhyanto vā prakṛtivac codanāyāṃ pravarteta tathā hi liṅgadarśanam.
[7,4.11]	liṅgahetutvād aliṅge laukikaṃ syāt.
[7,4.12]	liṅgasya pūrvavattavāc codanāśabdasāmānyād ekenāpi nirūpyeta yathā sthālīpulākena.
[7,4.13]	dvādaśāhikam ahargaṇe tatprakṛtitvād aikāhikam adhikāgamāt tadākhyaṃ syād ekāhavat.
[7,4.14]	liṅgāc ca.
[7,4.15]	na vā kratvabhidhānād adhikānām aśabdatvam.
[7,4.16]	liṅgaṃ saṃghātadharmaḥ syāt tadarthāpatter dravyavat.
[7,4.17]	na vārthadharmatvāt saṃghātasya guṇatvāt.
[7,4.18]	arthāpatter dravyeṣu dharmalābhaḥ syāt.
[7,4.19]	pravṛttyā niyatasya liṅgadarśanam.
[7,4.20]	vihāradarśanaṃ viśiṣṭasyānārabhyavādānāṃ prakṛtyarthatavāt.

<8>

{8,1}

[8,1.1]	atha viśeṣalakṣaṇam.
[8,1.2]	yasya liṅgam arthasaṃyogād abhidhānavat.
[8,1.3]	pravṛttitvād iṣṭeḥ some pravṛttiḥ syāt.
[8,1.4]	liṅgadarśanāc ca.
[8,1.5]	kṛtsvavidhānād vāpūrvatvam.
[8,1.6]	srugabhighāraṇābhāvasya ca nityānuvādāt.
[8,1.7]	vidhir iti cet.
[8,1.8]	na vākyaśeṣatvāt.
[8,1.9]	śaṅkatecānupoṣaṇāt.
[8,1.10]	darśanam aiṣṭikānāṃ syāt.
[8,1.11]	iṣṭiṣu darśapūrṇamāsayoḥ pravṛttiḥ syāt.
[8,1.12]	paśau ca liṅgadarśanāt.
[8,1.13]	daikṣasya cetareṣu.
[8,1.14]	aikādaśineṣu sautyasya dvairaśanyasya darśanāt.
[8,1.15]	tatpravṛttir gaṇeṣu syāt pratipaśu yūpadarśanāt.
[8,1.16]	avyaktāsu tu somasya.
[8,1.17]	gaṇeṣu dvādaśāhasya.
[8,1.18]	gavyasya ca tadādiṣu.
[8,1.19]	nikāyināṃ ca pūrvasyottareṣu pravṛttiḥ syāt.
[8,1.20]	karmaṇas tv apravṛttitvāt phalaniyamakartṛ samudāyasyānanvayas tadbandhanatvāt.
[8,1.21]	pravṛttau cāpi tādarthyāt.
[8,1.22]	aśrutitvāc ca.
[8,1.23]	guṇakāmeṣv āśritatvāt pravṛttiḥ syāt.
[8,1.24]	nivṛttir vā karmabhedāt.
[8,1.25]	api vātadvikāratvāt kratvarthatvāt pravṛttiḥ syāt.
[8,1.26]	ekakarmaṇi vikalpo 'vibhāgo hi codanaikatvāt.
[8,1.27]	liṅgasādhāraṇyād vikalpaḥ syāt.
[8,1.28]	aikārthyād vā niyamyeta pūrvavattvād vikāro hi.
[8,1.29]	aśrutitvān neti cet.
[8,1.30]	syāl liṅgabhāvāt.
[8,1.31]	tathā cānyārthadarśanam.
[8,1.32]	vipratipattau haviṣā niyamyeta karmaṇas tadupākhyatvāt.
[8,1.33]	tena ca karmasaṃyogāt.
[8,1.34]	guṇatvena devatāśrutiḥ.
[8,1.35]	hiraṇyam ājyadharmas tejastvāt.
[8,1.36]	dharmānugrahāc ca.
[8,1.37]	auṣadhaṃ vā viśadatvāt.
[8,1.38]	caruśabdāc ca.
[8,1.39]	tasmiṃś ca śrapaṇaśruteḥ.
[8,1.40]	madhūdake dravyasāmānyāt payovikāraḥ syāt.
[8,1.41]	ājyaṃ vā varṇasāmānyāt.
[8,1.42]	dharmānugrahāc ca.
[8,1.43]	pūrvasya cāviśiṣṭatvāt.

{8,2}

[8,2.1]	vājine somapūrvatvaṃ sautrāmaṇyāñ ca graheṣu tācchabdyāt.
[8,2.2]	anuvaṣaṭkārac ca.
[8,2.3]	samupahūya bhakṣaṇāc ca.
[8,2.4]	krayaṇaśrapaṇapurorugupayāmagrahaṇāsādanavāsopanahanañ ca tadvat.
[8,2.5]	haviṣā vā niyamyeta tadvikāratvāt.
[8,2.6]	praśaṃsā somaśabdaḥ.
[8,2.7]	vacanānītarāṇi.
[8,2.8]	vyapadeśaś ca tadvat.
[8,2.9]	paśupuroḍāśasya ca liṅgadarśanam.
[8,2.10]	paśuḥ puroḍāśavikāraḥ syād devatāsāmānyāt.
[8,2.11]	prokṣaṇātac ca.
[8,2.12]	paryagnikaraṇāc ca.
[8,2.13]	sānnāyyaṃ vā tatprabhavatvāt.
[8,2.14]	tasya ca pātradarśanāt.
[8,2.15]	dadhnaḥ syān mūrtisāmānyāt.
[8,2.16]	payo vā kālasāmānyāt.
[8,2.17]	paśvānantaryāt.
[8,2.18]	dravatvaṃ cāviśiṣṭam.
[8,2.19]	āmikṣobhayabhāvyatvād ubhayavikāraḥ syāt.
[8,2.20]	ekaṃ vā codanaikatvāt.
[8,2.21]	dadhisaṃghātasāmānyāt.
[8,2.22]	payo vā tatpradhānatvāl lokavad dadhnas tadarthatvāt.
[8,2.23]	dharmānugrahāc ca.
[8,2.24]	satramahīnaś ca dvādaśāhas tasyobhayathā pravṛttir aikakarmyāt.
[8,2.25]	api vā yajatiśruter ahīnabhūtapravṛttiḥ syāt prakṛtyā tulya śabdatvāt.
[8,2.26]	dvirātrādīnām ekādaśarātrād ahīnatvaṃ yajaticodanāt.
[8,2.27]	trayodaśarātrādiṣu satrabhūtas teṣv āsanopāyicodanāt.
[8,2.28]	liṅgāc ca.
[8,2.29]	anyatarato 'tirātratvāt pañcadaśarātrasyāhīnatvaṃ kuṇḍapāyināmayanasya ca tadbhūteṣv ahīnatvasya darśanāt.
[8,2.30]	ahīnavacanāc ca.
[8,2.31]	satre vopāyicodanāt.
[8,2.32]	satraliṅgañ ca darśayati.

{8,3}

[8,3.1]	havirgaṇe paramuttarasya deśasāmānyāt.
[8,3.2]	devatayā vā niyamyeta śabdattvād itarasyāśrutitvāt.
[8,3.3]	gaṇacodanāyāṃ yasya liṅgaṃ tadāvṛttiḥ pratīyetāgneyavat.
[8,3.4]	nānāhāni vā saṃghātatvāt pravṛttiliṅgena codanāt.
[8,3.5]	tathā cānyārthadarśanam.
[8,3.6]	kālābhyāse 'pi bādariḥ karmabhedāt.
[8,3.7]	tadāvṛttiṃ tu jaiminir ahnām apratyakṣasaṃkhyatvāt.
[8,3.8]	saṃsthāgaṇeṣu tadabhyāsaḥ pratīyeta kṛtalakṣaṇagrahaṇāt.
[8,3.9]	adhikārād vā prakṛtis tadviśiṣṭā syād abhidhānasya tannimittatvāt.
[8,3.10]	gaṇād upacayas tatprakṛtitvāt.
[8,3.11]	ekāhād vā teṣāṃ samatvātsyāt.
[8,3.12]	gāyatrīṣu prākṛtīnām avacchedaḥ prakṛtyādhikārāt saṃkhyātvād agniṣṭomavad avyatirekāt tadākhyatvam.
[8,3.13]	tan nityavac ca prathaksatīṣu tadvacanam.
[8,3.14]	na viṃśatau daśeti cet.
[8,3.15]	aikasaṃkhyam eva syāt.
[8,3.16]	guṇād vā dravyaśabdaḥ syād asarvaviṣayatvāt.
[8,3.17]	gotvavac ca samanvayaḥ.
[8,3.18]	saṃkhyāyāś ca śabdatvāt.
[8,3.19]	itarasyāśrutitvāc ca.
[8,3.20]	dravyāntare 'niveśād ukthyalopair viśiṣṭaṃ syāt.
[8,3.21]	aśāstralakṣaṇatvāc ca.
[8,3.22]	utpattināmadheyatvād bhattayā pṛthaksatīṣu syāt.
[8,3.23]	vacanamiti cet.
[8,3.24]	yāvad uktam.
[8,3.25]	apūrve ca vikalpaḥ syād yadi saṃkhyāvidhānam.
[8,3.26]	ṛgguṇatvān neti cet.
[8,3.27]	tathā pūrvavati syāt.
[8,3.28]	guṇāveśaś ca sarvatra.
[8,3.29]	niṣpannagrahaṇān neti cet.
[8,3.30]	tathehāpisyāt.
[8,3.31]	yadi vāviśaye niyamaḥ prakṛtyupabandhāc chareṣv api prasiddhaḥ syāt.
[8,3.32]	dṛṣṭaḥ prayoga iticet.
[8,3.33]	tathā śareṣv api.
[8,3.34]	bhattayeti cet.
[8,3.35]	tathetarasmin.
[8,3.36]	arthasya cāsamāptatvān na tāsām ekadeśe syāt.

{8,4}

[8,4.1]	darvihomo yajñābhidhānaṃ homasaṃyogāt.
[8,4.2]	sa laukikānāṃ syāt kartus tadākhyatvāt.
[8,4.3]	sarveṣāṃ vā darśanād vāstuhome.
[8,4.4]	juhoticodanānāṃ vā tatsaṃyogāt.
[8,4.5]	dravyopadeśād vā guṇābhidhānaṃ syāt.
[8,4.6]	na laukikānām ācāragrahaṇatvāc chabdavatāṃ cānyārthavidhānāt.
[8,4.7]	darśanāc cānyapātrasya.
[8,4.8]	tathāgnihaviṣoḥ.
[8,4.9]	uktaś cārthasambandhaḥ.
[8,4.10]	tasmin somaḥ pravartetāvyaktatvāt.
[8,4.11]	na vā svāhākāreṇa saṃyogād vāṣaṭkārasya ca nirdeśāt tantretena vipratiṣedhāt.
[8,4.12]	śabdāntaratvāt.
[8,4.13]	liṅgadarśanāc ca.
[8,4.14]	uttarārthas tu svāhākāro yathā sāptadaśyaṃ tatrāvipratiṣiddhā punaḥ pravṛttir liṅgadarśanāt paśuvat.
[8,4.15]	anuttarārtho vārthavattvād ānarthakyād dhi prākṛtasyoparodhaḥ syāt.
[8,4.16]	na prakṛtāv apīti cet.
[8,4.17]	uktaṃ samavāye pāradaurbalyam.
[8,4.18]	taccodanā veṣṭeḥ pravṛttitvād vidhiḥ syāt.
[8,4.19]	śabdasāmarthyāc ca.
[8,4.20]	liṅgadarśanāc ca.
[8,4.21]	tatrābhāvasya hetutvād guṇārthe syād adarśanam.
[8,4.22]	vidhir iti cet.
[8,4.23]	na vākyaśeṣatvād guṇārthe ca samādhānaṃ nānātvenopapadyate.
[8,4.24]	yeṣāṃ vāparayor hemas teṣāṃ syād avirodhāt.
[8,4.25]	tatrauṣadhāni codyante tāni sthānena gamyeran.
[8,4.26]	liṅgād vā śeṣahomayoḥ.
[8,4.27]	pratipatti tu te bhavatas tasmād atādvikāratvam.
[8,4.18]	sannipāte virodhinām apravṛttiḥ pratīyeta vidhyutpattivyavasthānād arthasyāpariṇeyatvād vacanād atideśaḥ syāt.

<9>

{9,1}

[9,1.1]	yajñakarma pradhānaṃ tad dhi codanābhūtaṃ tasya dravyeṣu saṃskāras tatprayuktas tadarthatvāt.
[9,1.2]	saṃskāre yujyamānānāṃ tādarthyāt tatprayuktaṃ syāt.
[9,1.3]	tena tvarthena yajñasya saṃyogād dharmasambandhas tasmād yajñaprayuktaṃ syāt saṃskārasya tadarthatvāt.
[9,1.4]	phaladevatayoś ca.
[9,1.5]	na codanātī hi tādguṇyam.
[9,1.6]	devatā vā prayojayed atithivad bhojanasya tadarthatvāt.
[9,1.7]	arthāpatyā ca.
[9,1.8]	tataś ca tena sambandhaḥ.
[9,1.9]	api vā śabdapūrvatvād yajñakarma pradhānaṃ syād guṇatve devatāśrutiḥ.
[9,1.10]	atithau tatpradhānatvam abhāvaḥ karmaṇi syāt tasya prītipradhānatvāt.
[9,1.11]	dravyasaṃkhyāhetusamudāyaṃ vā śrutisaṃyogāt.
[9,1.12]	arthakārite ca dravyeṇa na vyavasthā syāt.
[9,1.13]	artho vā syāt prayojanam itareṣām acodanāt tasya ca guṇabhūtatvāt.
[9,1.14]	apūrvatvād vyavasthā syāt.
[9,1.15]	tatprayuktatve ca dharmasya sarvaviṣayatvam.
[9,1.16]	tadyuktasyeti cet.
[9,1.17]	nāśrutitvāt.
[9,1.18]	adhikārād iti cet.
[9,1.19]	tulyeṣu nādhikāraḥ syād acoditaś ca sambandhaḥ pṛthaksatāṃ yajñārthenābhisambandhas tasmādyajñaprayojanam.
[9,1.20]	deśabaddham upāṃśutvaṃ teṣāṃ syāc chrutinirdeśāt tasya ca tatrabhāvāt.
[9,1.21]	yajñasya vā tatsaṃyogāt.
[9,1.22]	anuvādaś ca tadarthavat.
[9,1.23]	praṇītādi tatheti cet.
[9,1.24]	na yajñasyāśrutitvāt.
[9,1.25]	taddeśānāṃ vā saṃghātasya coditatvāt.
[9,1.26]	agnidharmaḥ pratīṣṭakaṃ saṃghātāt paurṇamāsīvat.
[9,1.27]	agner vā syād dravyaikatvād itarāsāṃ tadarthatvāt.
[9,1.28]	codanāsamudāyāt tu paurṇamāsyāṃ tathā syāt.
[9,1.29]	patnīsaṃyājāntatvaṃ sarveṣām aviśeṣāt.
[9,1.30]	liṅgād vā prāg uttamāt.
[9,1.31]	anuvādo vā dīkṣā yathā naktaṃ saṃsthāpanasya.
[9,1.32]	syād vānārabhya vidhānād ante liṅga virodhāt.
[9,1.33]	abhyāsaḥ sāmidhenīnāṃ prāthamyāt sthānadharmaḥ syāt.
[9,1.34]	iṣṭyāvṛtau prayājavad āvartetārambhaṇīyā.
[9,1.35]	sakṛd vārambhasaṃyogād ekaḥ punarārambho yāvajjīvaprayogāt.
[9,1.36]	arthābhidhānasaṃyogān mantreṣu śeṣabhāvaḥ syāt tatrācoditam aprāptaṃ coditābhidhānāt.
[9,1.37]	tataś cāvacanaṃ teṣām itarārthaṃ prayujyate.
[9,1.38]	guṇaśabdas tatheti cet.
[9,1.39]	nasamavāyāt.
[9,1.40]	codite tu parārthatvād vidhivadavikāraḥ syāt.
[9,1.41]	vikāras tatpradhāne syāt.
[9,1.42]	asaṃyogāt tadartheṣu tadviśiṣṭaṃ pratīyeta.
[9,1.43]	karmābhāvād evam iti cet.
[9,1.44]	na parārthatvāt.
[9,1.45]	liṅgaviśeṣanirdeśāt samānavidhāneṣv aprāptā sārasvatī strītvāt.
[9,1.46]	paśvabhidhānād vā tad dhi codanābhūtaṃ puṃviṣayaṃ punaḥ paśutvam.
[9,1.47]	viśeṣo vā tadarthanirdeśāt.
[9,1.48]	paśutvaṃ caikaśabdyāt.
[9,1.49]	yathoktaṃ vā sannidhānāt.
[9,1.50]	āmnātād anyad adhikāre vacanād vikāraḥ syāt.
[9,1.51]	dvaidhaṃ vā tulyahetutvāt sāmānyād vikalpaḥ syāt.
[9,1.52]	upadeśāc ca sāmnaḥ.
[9,1.53]	niyamo vā śrutiviśeṣād itarat sāptadaśyavat.
[9,1.54]	apragāṇāc chabdānyatve tathābhūtopadeśaḥ syāt.
[9,1.55]	yatsthāne vā tadgītiḥ syāt padānyatvapradhānatvāt.
[9,1.56]	gānasaṃyogāc ca.
[9,1.57]	vacanam iti cet.
[9,1.58]	na tatpradhānatvāt.

{9,2}

[9,2.1]	sāmāni mantram eke smṛtyupadeśābhyām.
[9,2.2]	taduktadoṣam.
[9,2.3]	karma vā vidhilakṣaṇam.
[9,2.4]	tādṛgdravyaṃ vacanāt pākayajñavat.
[9,2.5]	tatrāvipratiṣiddho dravyāntare vyatirekaḥ pradeśaś ca.
[9,2.6]	śabdārthatvāt tu naivaṃ syāt.
[9,2.7]	parārthatvāc ca śabdānām.
[9,2.8]	asambandhaś ca karmaṇā śabdayoḥ pṛthagarthatvāt.
[9,2.9]	saṃskāraś cāprakaraṇe 'gnivatsyāt prayuktatvāt.
[9,2.10]	akāryatvāc ca śabdānām aprayogaḥ pratīyeta.
[9,2.11]	āśritatvāc ca.
[9,2.12]	prayujyata iti cet.
[9,2.13]	grahaṇārthaṃ prayujyeta.
[9,2.14]	tṛce syāc chrutinirdeśāt.
[9,2.15]	śabdārthatvād vikārasya.
[9,2.16]	darśayati ca.
[9,2.17]	vākyānāṃ tu vibhaktatvāt pratiśabdaṃ samāptiḥ syāt saṃskārasya tadarthatvāt.
[9,2.18]	tathā cānyārtha darśanam.
[9,2.19]	anavānopadeśaś ca tadvat.
[9,2.20]	abhyāsenetarā śrutiḥ.
[9,2.21]	tadabhyāsaḥ samāsu syāt.
[9,2.22]	liṅgadarśanāc ca.
[9,2.23]	naimittikaṃ tūttarātvam ānantaryāt pratīyeta.
[9,2.24]	aikārthyāc ca tadabhyāsaḥ.
[9,2.25]	prāgāthikaṃ tu.
[9,2.26]	sve ca.
[9,2.27]	pragāthe ca.
[9,2.28]	liṅgadarśanāvyatiretakāc ca.
[9,2.29]	arthaikatvād vikalpaḥ syāt.
[9,2.30]	arthaikatvād vikalpaḥ syād ṛksāmayos tadarthatvāt.
[9,2.31]	vacanād viniyogaḥ syāt.
[9,2.32]	sāmapradeśe vikāras tadapekṣaḥ syāc chāstrakṛtvāt.
[9,2.33]	varṇe tu vādarir yathādravyaṃ dravyavyatirekāt.
[9,2.34]	stobhasyaike dravyāntare nivṛttim ṛgvat.
[9,2.35]	sarvātideśas tu sāmānyāl lokavad vikāraḥ syāt.
[9,2.36]	anvayañ cāpi darśayati.
[9,2.37]	nivṛttir vārthalopāt.
[9,2.38]	anvayo vārthavādaḥ syāt.
[9,2.39]	adhikañ ca vivarṇañ ca jaiminiḥ stobhaśabdatvāt.
[9,2.40]	dharmasyārthakṛtatvād dravyaguṇavikāravyatikramapratiṣedhe codanānubandhaḥ samavāyāt.
[9,2.41]	tadutpattes tu nivṛttis tatkṛtatvāt syāt.
[9,2.42]	aveśyeran vārthavattvāt saṃrakārasya tadarthatvāt.
[9,2.43]	ākhyā caivaṃ tadāveśād vikṛtau syād apūrvatvāt.
[9,2.44]	parārthena tv arthasāmānyaṃ saṃskārasya tadarthatvāt.
[9,2.45]	kriyeran vārthanirvṛtteḥ.
[9,2.46]	ekārthatvād avibhāgaḥ syāt.
[9,2.47]	nirdeśād vā vyavatiṣṭheran.
